epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.248,1.10443,54.265,1.22635,0.21476,0.07692,0.03941,0.03531,1.09971,113.275,1.24907,0.00024,0.00024,0.00024
2,380.185,1.12171,11.8083,1.2797,0.01319,0.30769,0.23959,0.21327,1.16067,235.705,1.16824,0.000495875,0.000495875,0.000495875
3,551.153,0.91783,7.19229,1.04041,0,0,0,0,2.11846,367.14,1.44563,0.00074746,0.00074746,0.00074746
4,716.075,1.34426,7.90691,1.34254,0.00076,0.23077,0.00026,0.00011,2.05365,471.761,1.67034,0.000994755,0.000994755,0.000994755
5,880.186,1.41019,5.74759,1.55527,0.05635,0.46154,0.21337,0.05054,1.78522,68.3021,1.66101,0.00123776,0.00123776,0.00123776
6,1043.01,1.70626,11.1843,1.63651,0.00026,0.15385,4e-05,0,1.90649,2439.88,2.24735,0.00147647,0.00147647,0.00147647
7,13591.6,1.40016,5.26438,1.43682,0.00026,0.15385,4e-05,1e-05,2.19665,1596.78,2.67124,0.0017109,0.0017109,0.0017109
8,13765.7,1.82842,3.89704,1.81134,0,0,0,0,2.43162,2978.59,2.71775,0.0018845,0.0018845,0.0018845
9,13926,1.55467,4.19346,1.58512,0.00026,0.15385,5e-05,1e-05,3.71393,218.958,5.7257,0.001868,0.001868,0.001868
10,14086.2,1.73908,3.15271,1.72436,0,0,0,0,4.03621,661.062,5.27213,0.0018515,0.0018515,0.0018515
11,14243.4,1.34187,3.07765,1.43083,0,0,0,0,4.08145,901164,14.5171,0.001835,0.001835,0.001835
12,14401.7,1.46902,2.88135,1.50624,0.00093,0.15385,0.00022,7e-05,3.34025,4394.97,6.27905,0.0018185,0.0018185,0.0018185
13,14565.3,1.57905,2.3375,1.61995,0,0,0,0,2.48107,276468,3.78405,0.001802,0.001802,0.001802
14,14731.6,1.39275,1.9825,1.4408,0.20419,0.30769,0.2651,0.09498,1.4713,20.2324,1.4331,0.0017855,0.0017855,0.0017855
15,14893.3,1.65252,2.11968,1.68691,0.00428,0.46154,0.00283,0.00179,1.58079,1328.42,1.51583,0.001769,0.001769,0.001769
16,15059.3,1.60918,2.04063,1.56717,0.00248,0.46154,0.00154,0.00072,1.987,1947.67,2.10784,0.0017525,0.0017525,0.0017525
17,15220.3,1.5653,2.03883,1.57917,0.02068,0.46154,0.01738,0.00944,2.02766,444.803,1.61857,0.001736,0.001736,0.001736
18,15383.8,1.27849,1.99377,1.27135,0.0141,0.07692,0.00255,0.00215,2.43403,122.808,3.01613,0.0017195,0.0017195,0.0017195
19,15547.9,1.73444,2.92022,1.52639,0.90254,0.46154,0.60219,0.21719,1.80123,2.60212,1.56748,0.001703,0.001703,0.001703
